id,country,date,title,video_link,tags
jp-shugiintv-55299,jp,2024-06-13,"憲法審査会 (1時間39分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0613-1000-18/playlist.m3u8,
jp-shugiintv-55298,jp,2024-06-13,"安全保障委員会 (3時間04分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0613-0900-13/playlist.m3u8,committee-Q11450363
jp-shugiintv-55297,jp,2024-06-13,"国家基本政策委員会 (09分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0613-1325-03/playlist.m3u8,committee-Q11420792
jp-shugiintv-55296,jp,2024-06-13,"本会議 (15分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0613-1300-00/playlist.m3u8,
jp-shugiintv-55295,jp,2024-06-12,"外務委員会 (2時間39分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0612-0900-11/playlist.m3u8,committee-Q11430336
jp-shugiintv-55294,jp,2024-06-11,"地域・こども・デジタル特別委員会 (12分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0611-0900-01/playlist.m3u8,
jp-shugiintv-55293,jp,2024-06-07,"環境委員会 (5時間10分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0607-0900-17/playlist.m3u8,committee-Q11574049
jp-shugiintv-55292,jp,2024-06-06,"本会議 (1時間02分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0606-1300-00/playlist.m3u8,
jp-shugiintv-55291,jp,2024-06-06,"憲法審査会 (1時間35分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0606-1000-18/playlist.m3u8,
jp-shugiintv-55290,jp,2024-06-05,"厚生労働委員会 (4時間16分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0605-0900-16/playlist.m3u8,committee-Q11409293
jp-shugiintv-55289,jp,2024-06-05,"政治改革特別委員会 (3時間48分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0605-1000-01/playlist.m3u8,
jp-shugiintv-55288,jp,2024-06-05,"農林水産委員会 (5時間21分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0605-0900-17/playlist.m3u8,committee-Q11637970
jp-shugiintv-55287,jp,2024-06-05,"災害対策特別委員会 (3時間11分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0605-1300-13/playlist.m3u8,
jp-shugiintv-55286,jp,2024-06-04,"環境委員会 (2時間05分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0604-0900-17/playlist.m3u8,committee-Q11574049
jp-shugiintv-55285,jp,2024-06-04,"消費者問題特別委員会 (3時間08分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0604-0850-13/playlist.m3u8,
jp-shugiintv-55283,jp,2024-06-04,"本会議 (07分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0604-1300-00/playlist.m3u8,
jp-shugiintv-55282,jp,2024-06-03,"政治改革特別委員会 (2時間43分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0603-1400-01/playlist.m3u8,
jp-shugiintv-55281,jp,2024-06-03,"決算行政監視委員会 (3時間11分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0603-0900-15/playlist.m3u8,committee-Q11552361
jp-shugiintv-55280,jp,2024-05-31,"原子力問題調査特別委員会 (2時間59分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0531-0900-16/playlist.m3u8,
jp-shugiintv-55279,jp,2024-05-31,"外務委員会 (3時間12分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0531-0900-11/playlist.m3u8,committee-Q11430336
jp-shugiintv-55278,jp,2024-05-30,"憲法審査会 (1時間37分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0530-1000-18/playlist.m3u8,
jp-shugiintv-55277,jp,2024-05-30,"地域・こども・デジタル特別委員会 (3時間16分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0530-0900-15/playlist.m3u8,
jp-shugiintv-55276,jp,2024-05-30,"本会議 (38分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0530-1300-00/playlist.m3u8,
jp-shugiintv-55275,jp,2024-05-29,"法務委員会 (3時間08分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0529-0900-14/playlist.m3u8,committee-Q11555045
jp-shugiintv-55274,jp,2024-05-29,"国土交通委員会 (3時間23分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0529-0900-18/playlist.m3u8,committee-Q11420650
jp-shugiintv-55273,jp,2024-05-29,"農林水産委員会 (6時間14分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0529-0900-17/playlist.m3u8,committee-Q11637970
jp-shugiintv-55272,jp,2024-05-29,"厚生労働委員会 (4時間58分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0529-0900-16/playlist.m3u8,committee-Q11409293
jp-shugiintv-55271,jp,2024-05-29,"文部科学委員会 (2時間20分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0529-0900-15/playlist.m3u8,committee-Q11500128
jp-shugiintv-55270,jp,2024-05-29,"経済産業委員会 (3時間47分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0529-0900-12/playlist.m3u8,committee-Q11606457
jp-shugiintv-55269,jp,2024-05-28,"総務委員会 (2時間11分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0528-0900-17/playlist.m3u8,committee-Q11607536
